first_seen_at,last_seen_at,ip_country,media_source,app_name,latest_product,first_purchase_at,trial_start_at,trial_end_at,most_recent_purchase_at,most_recent_renewal_at,latest_expiration_at,subscription_opt_out_at,trial_opt_out_at,total_renewals,total_spent,latest_store,latest_auto_renew_intent,all_purchased_product_ids,most_recent_billing_issues_at,status,has_made_a_non_subscription_purchase,app_user_id
1629118540413,1629118540413,AU,Source A,Generic App,com.app.year,1600512560000,1600512560000,1600771760000,1600771760000,,1632307760000,1629118572245,1629118572245,,83.119973514950601,app_store,f,com.app.year,,cancelled,f,099C149F-E42D-434A-8037-87309FF9B082
1629107961395,1629107961395,VN,,Generic App,com.app.week,1629108002000,1629108002000,1629367202000,1629108002000,,1629367202000,,,,0,app_store,t,com.app.week,,free_trial,f,422A0FD8-7884-4AC8-A9BC-A415626C2536
1629100972497,1629100972497,US,,Generic App,com.app.year,1629100984000,1629100984000,1629360184000,1629100984000,,1629360184000,,,,0,app_store,t,com.app.year,,free_trial,f,57277B09-A9A3-40C7-95F9-12B62359D5D4
1629099295760,1629099295761,VN,Source X,Generic App,com.app.week,1629099355000,1629099355000,1629358555000,1629099355000,,1629358555000,,,,0,app_store,t,com.app.week,,free_trial,f,06F2F797-6DC5-4BC6-9288-FE3748AA409B
1629087260960,1629087260960,US,Source B,Generic App,com.app.year,1629087300000,1629087300000,1629346500000,1629087300000,,1629346500000,,,,0,app_store,t,com.app.year,,free_trial,f,5BC1AC38-85D3-4380-9334-1BD940901F7D
1628727211628,1629087116853,US,Source C,Generic App,com.app.year,1589607500000,1589607500000,1589866700000,1621402700000,1621402700000,1652938700000,,,1,139.97999999999999,app_store,t,com.app.year,,active,f,0F4F1DA9-E084-4450-8A28-FFC9040DEECF
1629084438915,1629084438917,US,Source A,Generic App,com.app.year,1607538471000,1607538471000,1607797671000,1607815324000,,1639351324000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,7E474015-ECFB-45D1-9C3C-69F593ACCE9C
1629079956024,1629079956024,AU,Source C,Generic App,com.app.week,1629080019000,1629080019000,1629339219000,1629080019000,,1629339219000,,,,0,app_store,t,com.app.week,,free_trial,f,0C391AD4-504D-4C80-96A6-3158E951836F
1629077361189,1629077361189,BS,,Generic App,com.app.week,1629077408000,1629077408000,1629336608000,1629077408000,,1629336608000,,,,0,app_store,t,com.app.week,,free_trial,f,9F23EF0C-3001-4042-B797-0AB587DF1AD5
1625622483467,1629077072452,US,Source A,Generic App,com.app.year,1629077088000,1629077088000,1629336288000,1629077088000,,1629336288000,,,,0,app_store,t,com.app.year,,free_trial,f,68C971B4-B82D-455C-BF2D-EE467532EA24
1629076672872,1629076672872,US,Source A,Generic App,com.app.year,1597434879000,1597434879000,1597694079000,1597694079000,,1629230079000,1629076754868,1629076754868,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,E74C6AEC-4F97-494E-94A1-0B843AE2D1DD
1629075960322,1629075960322,US,Source D,Generic App,com.app.year,1609179305000,1609179305000,1609438505000,1609438505000,,1609531348000,1629075960919,1629075960919,,0,app_store,f,com.app.year,,expired,f,4A140A79-D841-4E76-A52D-EA183A55109F
1629071266650,1629071266650,US,Source A,Generic App,com.app.year,1599438806000,1599438806000,1599698006000,1599698006000,,1631234006000,1629071267844,1629071267844,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,CA9E31B6-73CB-40F6-9FBA-290AB6034B28
1629065585948,1629065585948,BR,Source G,Generic App,com.app.year,1610620032000,1610620032000,1610879232000,1610879232000,,1642415232000,1629065612651,1629065612651,,54.7666128068484,app_store,f,com.app.year,,cancelled,f,D0FA570E-49F6-4D40-A7CD-D0C7E043C832
1621033955602,1629062507156,US,Source A,Generic App,com.app.year,1621033998000,1621033998000,1621293198000,1621293198000,,1652829198000,1629107543045,1629107543045,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,D2310B12-5EFF-490A-9380-D9A2836342BD
1629060421637,1629060421637,US,Source B,Generic App,com.app.year,1629060453000,1629060453000,1629319653000,1629060453000,,1629319653000,,,,0,app_store,t,com.app.year,,free_trial,f,E96AFE38-AE26-4FD3-8D94-6DCE9C641039
1624833178717,1629059690935,US,Source C,Generic App,com.app.year,1600451668000,1600451668000,1600710868000,1600710868000,,1632246868000,1629059726072,1629059726072,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,E2710618-84B5-4F77-951B-00E7D325F8A7
1624985035195,1629058437187,US,Source X,Generic App,com.app.year,1629058450000,1629058450000,1629317650000,1629058450000,,1629317650000,,,,0,app_store,t,com.app.year,,free_trial,f,A60B7760-8E87-45A4-9BA3-D07B56756436
1629054713190,1629054713190,US,Source A,Generic App,com.app.year,1617555989000,1617555989000,1617815189000,1617815189000,,1649351189000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,1999443A-C692-4E87-A258-EE40120FE6C9
1621169003556,1629050707741,US,Source F,Generic App,com.app.year,1621177622000,1621177622000,1621436822000,1621436822000,,1652972822000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,32CD18C1-8860-42ED-B947-4AEA258AEC14
1620258060830,1629050032014,US,Source A,Generic App,com.app.year,1615915719000,1615915719000,1616174919000,1616174919000,,1647710919000,1629095070467,1629095070467,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,AF2CA5A4-3E09-49B7-A57F-02F903FB9F33
1622545361428,1629048364591,GB,Source X,Generic App,com.app.week,1598906931000,1598906931000,1599166131000,1629048491000,,1629653291000,,,,9.6916287343620198,app_store,t,com.app.week,,active,f,3AAEBB3F-3CCB-4453-9259-C60E8C1F065D
1622418012300,1629047712282,GR,Source E,Generic App,com.app.year,1610996448000,1610996448000,1611255648000,1611255648000,,1642791648000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,B2A67A1D-02F4-457B-81CC-EFB564DB1D52
1629046811038,1629046811039,US,Source D,Generic App,com.app.year,1612317369000,1612317369000,1612576569000,1613037492000,,1644573492000,1629046812217,1629046812217,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,077B563B-E308-4C80-B177-953F34126723
1625277500415,1629046155352,KY,Source C,Generic App,com.app.week,1590456626000,1590456626000,1590715826000,1629047514000,1629047514000,1629652314000,1629102832356,1629102832356,2,83.969999999999985,app_store,f,com.app.week,,cancelled,f,F56A9585-177A-4049-8332-24B1BAB72169
1629044551993,1629044551993,US,Source D,Generic App,com.app.year,1613578523000,1613578523000,1613837723000,1613837723000,,1645373723000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,4AFD9735-186F-499F-9C11-11BE5DB03400
1629044210539,1629044210539,GB,,Generic App,com.app.year,1629044230000,1629044230000,1629303430000,1629044230000,,1629303430000,1629103923731,1629103923731,,0,app_store,f,com.app.year,,cancelled_trial,f,9FB8DEF3-502B-4754-B319-3F39245E8DA5
1629039299703,1629039299703,MY,,Generic App,com.app.week,1629039348000,1629039348000,1629298548000,1629039348000,,1629298548000,1629092956061,1629092956061,,0,app_store,f,com.app.week,,cancelled_trial,f,D9DE7623-D129-424F-BEB4-C3CE1F1BE2E0
1629039113792,1629039113792,VN,,Generic App,com.app.week,1629041059000,1629041059000,1629300259000,1629041059000,,1629300259000,1629091936186,1629091936186,,0,app_store,f,com.app.week,,cancelled_trial,f,426E04AF-63DA-461A-B908-033FD73E81D9
1626695644821,1629038099679,AU,Source H,Generic App,com.app.week,1628841035000,1629038133000,1629100235000,1629038133000,,1629100235000,,,,0,app_store,t,com.app.week,1629101950253,expired,f,8BA734D0-BC9D-4B92-AC0C-C7588A8032B0
1629034992682,1629034992682,KH,,Generic App,com.app.year,1629035025000,1629035025000,1629294225000,1629035025000,,1629294225000,,,,0,app_store,t,com.app.year,,free_trial,f,34585807-2ACF-49DE-BCB7-EFBB9EB2AC35
1629034218184,1629034218184,US,Source I,Generic App,com.app.year,1589559517000,1589559517000,1589818717000,1621354717000,1621354717000,1652890717000,,,1,139.97999999999999,app_store,t,com.app.year,,active,f,780693DA-D09A-40D6-8CB7-07EE7DE562FC
1629033750311,1629033750311,US,Source D,Generic App,com.app.year,1614543184000,1614543184000,1614802384000,1614802384000,,1646338384000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,B75BFFCE-CE89-4971-9A43-6E30F154B24E
1619704680843,1629032452362,US,Source D,Generic App,com.app.year,1614659766000,1614659766000,1614918966000,1614918966000,,1646454966000,1629086647057,1629086647057,,69.989999999999995,app_store,f,com.app.year,,cancelled,f,F0C2228E-56E5-4116-9A91-4F316EDE4514
1629032373564,1629032373564,US,Source C,Generic App,com.app.year,1588387434000,1588387434000,1588646634000,1620182634000,1620182634000,1651718634000,,,1,139.97999999999999,app_store,t,com.app.year,,active,f,26AE82C6-70B2-4967-B0E9-EC06812DB53C
1629027892021,1629027892021,US,,Generic App,com.app.week,1629028006000,1629028006000,1629287206000,1629028006000,,1629287206000,,,,0,app_store,t,com.app.week,,free_trial,f,0A46B63E-C04C-4DD8-85EB-FD68023859B9
1619284212374,1629027826372,US,Source D,Generic App,com.app.year,1612290959000,1612290959000,1612550159000,1612550159000,,1644086159000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,9A51DBF9-8FE8-44B8-BF51-6163BBC72AD1
1629022740111,1629022740112,AU,Source C,Generic App,com.app.year,1587515550000,1587515550000,1587774750000,1588041581000,,1619577581000,1629022777441,1629022777441,,74.164655984737493,app_store,f,com.app.year,,expired,f,AC643708-1252-4AD2-BC34-CB6D261FE717
1629015251915,1629015251915,AU,Source C,Generic App,com.app.year,1588816761000,1588816761000,1589075961000,1622147306000,1622147306000,1653683306000,,,1,164.08228726559361,app_store,t,com.app.year,,active,f,29965F61-73ED-4967-9DA0-B8B719A5BC97
1629013864403,1629013864403,AU,Source D,Generic App,com.app.year,1609641426000,1609641426000,1609900626000,1609900626000,,1641436626000,1629013900622,1629013900622,,89.262010665797206,app_store,f,com.app.year,,cancelled,f,022112C4-58BE-40A6-B25F-63028686F0F4
1623367547565,1629013346745,GB,Source X,Generic App,com.app.week,1623367591000,1623367591000,1623626791000,1629069991000,1629069991000,1629674791000,,,9,96.94430272455503,app_store,t,com.app.week,,active,f,C34F76B6-FA5A-43E9-A970-CE0D06B23F21
1623220819757,1629007284735,US,Source F,Generic App,com.app.year,1602657365000,1602657365000,1602916565000,1602916565000,,1634452565000,,,,69.989999999999995,app_store,t,com.app.year,,active,f,3437ADC5-F7E8-427E-A405-ABF17720AC0F
1629001974734,1629001974734,US,,Generic App,com.app.year,1629001991000,1629001991000,1629261191000,1629001991000,,1629261191000,1629059913347,1629059913347,,0,app_store,f,com.app.year,,cancelled_trial,f,D03180F4-0E87-4F89-9CDE-7D29E4BEDA05
